[2026-05-24 09:04:45] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_W
[2026-05-31 15:16:28] RUNNING | model=BEST | log=BPI_Challenge_2012_W
[2026-05-31 15:21:16] DONE | model=CRTP_LSTM_NDA | log=InternationalDeclarations
[2026-05-31 15:21:16] RUNNING | model=SuTraN_NDA | log=Hospital_Billing
[2026-05-31 15:41:56] DONE | model=BEST | log=BPI_Challenge_2012_W
[2026-05-31 15:41:56] RUNNING | model=CRTP_LSTM_NDA | log=Hospital_Billing
[2026-05-31 15:54:06] DONE | model=ED_LSTM | log=InternationalDeclarations
[2026-05-31 15:54:06] RUNNING | model=ED_LSTM | log=Hospital_Billing
[2026-05-31 16:02:22] DONE | model=SuTraN_NDA | log=PrepaidTravelCost
[2026-05-31 16:02:22] RUNNING | model=SEP_LSTM | log=Hospital_Billing
[2026-05-31 16:06:05] DONE | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-05-31 16:06:05] RUNNING | model=BEST | log=Hospital_Billing
[2026-05-31 16:08:49] DONE | model=BEST | log=Hospital_Billing
[2026-05-31 16:08:49] RUNNING | model=SuTraN_NDA | log=Road_Traffic_Fine_Management_Process
[2026-05-31 17:11:53] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_W
[2026-05-31 17:11:53] RUNNING | model=CRTP_LSTM_NDA | log=Road_Traffic_Fine_Management_Process
[2026-05-31 17:50:54] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_W
[2026-05-31 17:50:54] RUNNING | model=ED_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-05-31 18:02:55] DONE | model=SuTraN_NDA | log=DomesticDeclarations
[2026-05-31 18:02:55] RUNNING | model=SEP_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-05-31 18:10:10] DONE | model=SuTraN_NDA | log=BPIC15_4
[2026-05-31 18:10:10] RUNNING | model=BEST | log=Road_Traffic_Fine_Management_Process
[2026-05-31 18:13:17] DONE | model=BEST | log=Road_Traffic_Fine_Management_Process
[2026-05-31 18:54:56] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-05-31 20:56:05] DONE | model=SEP_LSTM | log=Hospital_Billing
[2026-05-31 21:13:50] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-05-31 21:58:35] DONE | model=SuTraN_NDA | log=InternationalDeclarations
[2026-05-31 22:12:39] DONE | model=CRTP_LSTM_NDA | log=Hospital_Billing
[2026-05-31 23:03:59] DONE | model=ED_LSTM | log=BPI_Challenge_2012_W
[2026-06-01 00:00:38] DONE | model=SEP_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-06-01 00:31:54] DONE | model=ED_LSTM | log=Hospital_Billing
[2026-06-01 01:37:09] DONE | model=ED_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-06-01 02:25:21] DONE | model=CRTP_LSTM_NDA | log=Road_Traffic_Fine_Management_Process
[2026-06-01 05:28:08] DONE | model=SuTraN_NDA | log=BPIC15_5
[2026-06-01 08:12:26] RUNNING | model=SuTraN_NDA | log=BPIC15_1
[2026-06-01 08:12:26] RUNNING | model=ED_LSTM | log=BPIC15_1
[2026-06-01 08:12:26] RUNNING | model=SuTraN_NDA | log=BPIC15_2
[2026-06-01 08:12:26] RUNNING | model=ED_LSTM | log=BPIC15_2
[2026-06-01 08:12:26] RUNNING | model=SuTraN_NDA | log=BPIC15_3
[2026-06-01 08:12:26] RUNNING | model=SEP_LSTM | log=BPIC15_3
[2026-06-01 08:12:26] RUNNING | model=ED_LSTM | log=BPIC15_3
[2026-06-01 08:12:26] RUNNING | model=ED_LSTM | log=BPIC15_4
[2026-06-01 08:12:26] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-06-01 08:12:26] RUNNING | model=ED_LSTM | log=BPIC15_5
[2026-06-01 08:12:26] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-06-01 08:12:26] RUNNING | model=SEP_LSTM | log=BPIC15_5
[2026-06-01 08:12:26] RUNNING | model=SEP_LSTM | log=InternationalDeclarations
[2026-06-01 08:12:26] RUNNING | model=ED_LSTM | log=PrepaidTravelCost
[2026-06-01 08:12:26] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-06-01 08:12:26] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_W
[2026-06-01 08:12:26] RUNNING | model=SuTraN_NDA | log=Road_Traffic_Fine_Management_Process
[2026-06-01 08:12:26] RUNNING | model=SuTraN_NDA | log=Hospital_Billing
[2026-06-01 08:58:28] DONE | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-06-01 09:01:15] DONE | model=SEP_LSTM | log=InternationalDeclarations
[2026-06-01 09:02:32] DONE | model=ED_LSTM | log=PrepaidTravelCost
[2026-06-01 09:08:08] DONE | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-06-01 09:12:21] DONE | model=SEP_LSTM | log=BPIC15_3
[2026-06-01 09:20:31] DONE | model=SEP_LSTM | log=BPIC15_5
[2026-06-01 09:46:01] DONE | model=ED_LSTM | log=BPIC15_4
[2026-06-01 09:51:17] DONE | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-06-01 09:58:48] DONE | model=ED_LSTM | log=BPIC15_1
[2026-06-01 10:01:56] DONE | model=ED_LSTM | log=BPIC15_5
[2026-06-01 10:19:28] DONE | model=ED_LSTM | log=BPIC15_2
[2026-06-01 10:32:14] DONE | model=ED_LSTM | log=BPIC15_3
[2026-06-01 14:13:02] DONE | model=SuTraN_NDA | log=Hospital_Billing
[2026-06-01 15:01:07] DONE | model=SuTraN_NDA | log=Road_Traffic_Fine_Management_Process
[2026-06-01 15:46:42] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_W
[2026-06-01 17:17:29] DONE | model=SuTraN_NDA | log=BPIC15_1
[2026-06-01 17:26:22] DONE | model=SuTraN_NDA | log=BPIC15_3
[2026-06-01 17:44:13] DONE | model=SuTraN_NDA | log=BPIC15_2
